Source,Target,Frequency per week,,Distance (Km)
Vijaywada,Hyderabad,80,,268.0871054
Visakhapatnam,Hyderabad,66,,504.9878768
Agartala,Imphal,6,,286.1781205
Aizwal,Imphal,4,,164.8938186
Bangalore,Imphal,13,,2150.556778
Delhi,Imphal,9,,1719.978076
Guwahati,Imphal,44,,276.1351448
Kolkata,Imphal,27,,602.1429347
Delhi,Bikaner,7,,386.6289889
Agra,Jaipur,4,,216.1054141
Ahmedabad,Jaipur,34,,525.4713281
Amritsar,Jaipur,7,,552.13701
Bangalore,Jaipur,47,,1554.794605
Bhopal,Jaipur,14,,422.2168445
Chennai,Jaipur,14,,1611.369035
Dehradun,Jaipur,7,,439.995052
Delhi,Jaipur,59,,231.7689718
Guwahati,Jaipur,14,,1571.203711
Hyderabad,Jaipur,42,,1077.201668
Indore,Jaipur,7,,455.4439804
Jaisalmer,Jaipur,7,,490.772006
Kolkata,Jaipur,46,,1356.739296
Mumbai,Jaipur,64,,911.2656213
Pune,Jaipur,21,,936.740135
Surat,Jaipur,10,,707.3159137
Udaipur,Jaipur,17,,311.4526809
Varanasi,Jaipur,11,,719.6975068
Ahmedabad,Jaisalmer,12,,459.8659178
Bangalore,Jaisalmer,7,,1704.284569
Mumbai,Jaisalmer,7,,891.169593
Delhi,Jaisalmer,7,,641.6051984
Jaipur,Jaisalmer,7,,490.772006
Surat,Jaisalmer,7,,669.8220564
Ahmedabad,Jodhpur,13,,355.4024791
Bangalore,Jodhpur,7,,1555.6646
Delhi,Jodhpur,35,,475.8269891
Mumbai,Jodhpur,28,,796.5941447
Pune,Jodhpur,6,,857.4305422
Ahmedabad,Kishangarh,6,,448.3315681
Delhi,Kishangarh,7,,314.8099276
Hyderabad,Kishangarh,7,,1083.179052
Ahmedabad,Udaipur,7,,214.0247443
Aurangabad,Udaipur,3,,550.8488805
